,05M09,Décès,05K10,04M05,05M08,04M13,11M06,16M11,19M06,11K02,06M12,23M20,04M20,04M03,05M12,08M10,02C05,05M17,01M34,05M06,08M29,06M06,10M16,01M20,10M18,01M25,11M04,07M14,05M15,06M03,06M04,05M20,09M06,04M11,04M08,05K06,05M13,18M04,11M12,23Z02,01M30,04M17,04M22,11M16,10M07,05M04,09M05,05C14,09M08,08C24,07M07,11M15,09C03,05K05,06C12,05C15,06M05,18M07,05M22,23M06,08M15,08C22,05K20,04M10,13M09,04C04,05C21,05K24,05C03,04M07,05C10,01M11,17M16,23K02,02C02,08C47,10M09,19M11,07M02,11C05,09M03,08M19,01M21,25M02,01C13,07M04,08M25,18C02,11M17,06C03,11M18,06K04,16M15,11M07,17M11,09C02,05M11,01C06,09M07,23M10,08C46,11M02,17C07,04M12,06K02,20Z04,01K06,23K03,13K04,06C04,04K02,19M20,09C05,05M05,05C02,09C10,08M26,21M16,02M08,08C50,07M06,10M02,07C12,17M14,07M15,07M08,01C04,04C03,02C08,08M36,16M12,17M12,13M04,03M04,08M04,08K02,16M13,05K25,01M13,11M19,08M14,05K14,06M09,19M07,12M06,05K17,19M22,05C19,04M24,08C49,11C13,06M07,05C11,08C35,19M02,02C11,05M07,06M11,05C13,09C12,23M16,10M13,04M15,05C18,09M09,01C15,21M10,05M18,08C44,23C02,21M07,08C37,07M10,06M19,12M03,08M23,11M10,19M16,05K21,05K26,09M12,03C29,03M07,11C08,04M09,17M15,05M16,06C24,06M18,23M15,01M15,10M08,07K02,07M11,01M26,13M03,21C05,09C15,08C33,04M14,23M18,08C56,16M09,01M19,19M21,11C04,05C08,06M10,05C22,22M02,13C08,16M10,07C13,03K02,05C12,01M36,17M07,03M06,04M19,09C09,05C06,12M04,08M37,07C07,25C02,05C20,06C25,08C39,06M16,05C05,05C04,05K13,08C61,08M21,18M13,08C48,21M14,04M16,05K23,02C10,07M13,01M16,06M20,01C05,09M14,08C21,10M14,04M23,07C09,19M14,05K22,19M15,01M35,09C04,01M32,10C08,11C02,07K06,12C04,23M08,08M05,08M22,02M03,23M02,01M18,08C27,01M31,01M28,11K07,04C02,03M11,08M31,18M11,11K03,05M23,11C03,06K05,01M07,08C32,12C08,25Z02,01K03,09M13,16M14,08C60,05K19,01M37,11C09,02M04,12K06,08M28,03M09,09K02,08C14,20Z05,08C06,06M13,11K06,02M09,02C12,10C13,08C51,06C14,05M21,17M09,05M14,13C04,03M05,12M05,10C05,06C21,12C03,01M05
0,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115.0,33.0,21.0,21.0,19.0,11.0,11.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90.0,24.0,12.0,12.0,5.0,10.0,5.0,10.0,7.0,3.0,5.0,6.0,6.0,6.0,6.0,1.0,5.0,4.0,,4.0,1.0,5.0,9.0,,2.0,,5.0,2.0,4.0,7.0,6.0,1.0,4.0,4.0,2.0,11.0,4.0,3.0,1.0,8.0,3.0,1.0,3.0,2.0,,1.0,4.0,,,,2.0,1.0,,1.0,2.0,6.0,1.0,1.0,1.0,5.0,1.0,,1.0,2.0,,,1.0,,2.0,4.0,2.0,1.0,,1.0,,1.0,,,3.0,,3.0,,,,1.0,2.0,2.0,,1.0,,,1.0,,2.0,1.0,,2.0,2.0,1.0,4.0,,,,,1.0,2.0,,2.0,,1.0,,1.0,,3.0,,,,,,,2.0,3.0,,2.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90.0,28.0,12.0,19.0,10.0,7.0,4.0,15.0,6.0,1.0,2.0,11.0,7.0,5.0,1.0,2.0,5.0,3.0,3.0,2.0,3.0,,5.0,2.0,3.0,,6.0,1.0,1.0,9.0,2.0,2.0,2.0,3.0,4.0,9.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,1.0,4.0,1.0,,3.0,1.0,2.0,1.0,4.0,,,2.0,1.0,,,,,4.0,2.0,1.0,2.0,,2.0,1.0,1.0,,,2.0,,3.0,,,1.0,,3.0,1.0,,,,,2.0,,1.0,1.0,,,1.0,,2.0,,,,,4.0,1.0,,1.0,,,,1.0,1.0,3.0,,1.0,,2.0,,,1.0,3.0,,,,,,,1.0,,,1.0,,,4.0,,,2.0,,1.0,1.0,1.0,3.0,3.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,2.0,2.0,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,75.0,34.0,5.0,14.0,3.0,5.0,6.0,12.0,4.0,1.0,4.0,9.0,7.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,6.0,4.0,2.0,1.0,,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,9.0,3.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,,,,2.0,1.0,1.0,4.0,1.0,8.0,,,3.0,,,,,,2.0,3.0,1.0,,,2.0,,2.0,,,3.0,,2.0,1.0,,,,1.0,,,,,,2.0,,,,,1.0,3.0,,6.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,3.0,,,1.0,2.0,,,,,,,1.0,2.0,,,,,1.0,,1.0,,1.0,3.0,,3.0,2.0,1.0,,1.0,,2.0,,1.0,4.0,,1.0,,,,,,,,,,,1.0,,,2.0,,,1.0,,1.0,,2.0,,,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,60.0,30.0,4.0,17.0,4.0,10.0,5.0,10.0,2.0,4.0,1.0,5.0,9.0,6.0,4.0,,5.0,,3.0,1.0,1.0,1.0,2.0,,,1.0,3.0,3.0,5.0,10.0,5.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,,6.0,5.0,4.0,1.0,1.0,,4.0,5.0,1.0,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,4.0,,5.0,1.0,,,,,3.0,,1.0,,2.0,2.0,,,,1.0,1.0,,,2.0,1.0,2.0,2.0,2.0,,,2.0,1.0,,,,,1.0,,1.0,,,1.0,,1.0,7.0,,,,,3.0,,,1.0,,2.0,,,,2.0,1.0,1.0,2.0,,,,,3.0,,,1.0,,1.0,,1.0,,,,,,,1.0,2.0,3.0,2.0,,,3.0,4.0,4.0,2.0,,2.0,4.0,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,2.0,,,1.0,,,,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59.0,33.0,4.0,15.0,3.0,10.0,7.0,9.0,,2.0,1.0,6.0,5.0,4.0,5.0,3.0,6.0,2.0,2.0,,,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,11.0,2.0,,1.0,2.0,2.0,5.0,1.0,2.0,3.0,8.0,2.0,1.0,2.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,4.0,,6.0,3.0,,,3.0,,,2.0,1.0,,2.0,,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,2.0,6.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,2.0,,2.0,1.0,,2.0,1.0,1.0,3.0,1.0,2.0,,,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,2.0,2.0,,,,2.0,,,,,2.0,,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,,,,1.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,3.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,48.0,33.0,4.0,5.0,5.0,8.0,3.0,7.0,1.0,,,8.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,,3.0,5.0,2.0,1.0,1.0,4.0,2.0,3.0,7.0,3.0,2.0,,5.0,1.0,7.0,1.0,3.0,3.0,3.0,5.0,,1.0,,2.0,1.0,2.0,,,,,,4.0,,,1.0,,4.0,,2.0,,1.0,,,,,1.0,1.0,,2.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,,1.0,6.0,,,,,3.0,1.0,,,,3.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,2.0,1.0,,,1.0,2.0,2.0,1.0,,,3.0,,2.0,,,,,,,,1.0,,1.0,,2.0,,,,,1.0,1.0,,,,,3.0,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,38.0,36.0,5.0,8.0,5.0,1.0,5.0,5.0,2.0,2.0,1.0,4.0,7.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,,1.0,5.0,1.0,3.0,7.0,2.0,,2.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,6.0,3.0,,3.0,,2.0,1.0,,1.0,,2.0,2.0,,,,1.0,1.0,3.0,1.0,4.0,,,1.0,,,,1.0,,1.0,,1.0,,,3.0,,2.0,,,1.0,,2.0,,,,,1.0,,,,,,2.0,,,,,1.0,,1.0,2.0,,,,,2.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,1.0,,,2.0,1.0,,,1.0,,,1.0,1.0,,2.0,2.0,1.0,2.0,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,40.0,36.0,2.0,6.0,1.0,2.0,2.0,7.0,2.0,1.0,,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,,3.0,4.0,1.0,4.0,,1.0,3.0,9.0,1.0,3.0,1.0,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,3.0,2.0,1.0,,1.0,,,,1.0,1.0,,2.0,3.0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,1.0,,1.0,2.0,,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,4.0,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
