,05M09,Décès,05K10,05M08,04M05,05K06,23M20,16M11,04M20,04M13,02C05,11M06,06M04,04M03,06M03,10M16,08C49,05M15,11M04,19M06,05C15,01M34,04M17,01M30,05M12,09M05,05M17,23Z02,04M11,23M06,05M06,11M19,04M08,05M04,08C47,19M02,11M16,06M05,21M10,03M06,09M03,05M13,05C14,01M31,05C19,05K13,11M12,06K02,07M02,07M06,23K02,11C05,05M05,05M16,01M20,06M06,08M25,16M10,01M25,04M09,06K04,04M07,11C13,05M20,08M15,05M11,08M04,08M10,05K11,06C04,10M02,12C04,06M09,04M16,08C32,05K14,05M22,01M07,05C02,09C03,17M12,04M14,10M08,20Z05,05C22,09C10,07M10,05M14,01M19,08M07,06M19,18M07,21M16,08M37,04M24,03M09,05C10,05K05,01M21,06M12,10M18,04M10,09M06,04C02,06M18,17M14,01M15,10M07,05K17,11M18,07M07,06M20,01M11,08M29,02C02,23M10,08C39,09M10,03M04,01M12,21C05,06M16,05C08,19M11,10M13,06C25,08C56,05C12,23K03,04M12,23C02,06C24,27Z03,13K04,19M15,08M14,21M07,08C35,16M09,05K20,03M02,20Z06,05C03,01C13,09M08,05M07,08C62,06K05,01C08,04M22,08C41,08C06,01C15,07C13,03M11,23M15,02C08,19M22,12M03,08C61,06C12,09C15,11K02,11M07,17M09,23M16,07M04,01M26,13C03,08M26,11M17,07M08,12M04,03M05,02M08,08M19,18M04,05C18,05C06,09C09,19M18,01M05,08C24,09M07,04K02,08M36,09M11,04M23,03K02,01M22,18M03,17C02,07C14,04C04,07M14,05C11,17M07,08C48,19M19,13C08,08M22,02C11,05C21,08C52,05K26,03M07,05M18,02C10,03C16,04M19,02M02,16M12,01C04,23M19,05K21,02M03,08M28,12C08,08M32,08K04,04M25,19M21,10M14,05C13,09C04,05K23,06C03,26C02,08M21,09M12,01M36,10M11,12M06,12K06,06C16,05C04,01M13,01M10,05M23,17M17,01M16,05K24,06M13,22C03,17C03,03M13,05C17,02C12,08K02,08M31,19M10,04M15,10M09,17M15,06M11,08C14,16M13,06M10,19M13,17M16,11C11,19M07,13C13,06C14,01M18,01M35,05C05,06C15,05C20,11C02,08C22,01C06,01M37,07M13,05K19,18M13,08M27,06C07,05K25,06M07,23M14,05K22,13M03,02M09,20Z04,05M21,06C11,22Z02,06C21,10M12,07C12,08M38,11C08,09C02,13M04,01M32,07M09,01M08,08C02,11M15,08C50,02M10,19C02,07M11,04M18,19M14,17M11,13C14,08M35,06K03,08M18,21M11
0,1111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,204.0,118.0,34.0,28.0,23.0,20.0,19.0,19.0,19.0,17.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,191.0,108.0,16.0,18.0,37.0,13.0,15.0,23.0,14.0,15.0,14.0,11.0,13.0,8.0,7.0,15.0,12.0,12.0,5.0,15.0,10.0,3.0,10.0,10.0,3.0,6.0,9.0,15.0,8.0,9.0,7.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,4.0,12.0,1.0,5.0,2.0,5.0,4.0,8.0,,5.0,1.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,8.0,3.0,,6.0,2.0,3.0,1.0,2.0,2.0,5.0,,3.0,4.0,2.0,3.0,1.0,1.0,7.0,4.0,1.0,,2.0,1.0,,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,,2.0,2.0,,1.0,1.0,2.0,6.0,3.0,7.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,,4.0,2.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,3.0,1.0,2.0,,,,,2.0,,1.0,,,2.0,,1.0,,2.0,2.0,2.0,,1.0,1.0,4.0,1.0,1.0,2.0,,3.0,,,,1.0,,2.0,3.0,,1.0,,,2.0,,2.0,,1.0,,,1.0,,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,160.0,124.0,12.0,9.0,39.0,4.0,10.0,14.0,16.0,20.0,12.0,1.0,12.0,7.0,14.0,12.0,5.0,7.0,8.0,6.0,3.0,5.0,8.0,14.0,5.0,5.0,6.0,18.0,4.0,6.0,5.0,2.0,9.0,,4.0,2.0,,1.0,2.0,1.0,4.0,,5.0,,9.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,7.0,7.0,3.0,8.0,2.0,2.0,3.0,4.0,,4.0,2.0,3.0,3.0,2.0,3.0,1.0,,7.0,3.0,,2.0,1.0,,,6.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,2.0,2.0,,1.0,,4.0,2.0,1.0,3.0,,,2.0,1.0,4.0,5.0,3.0,5.0,1.0,4.0,,,,,,2.0,2.0,,2.0,1.0,10.0,,1.0,,,,,,,,,1.0,3.0,,,1.0,1.0,,,,1.0,,1.0,,2.0,2.0,,1.0,,1.0,1.0,,,,1.0,,,,2.0,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,1.0,2.0,2.0,1.0,3.0,1.0,,,1.0,,,1.0,2.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,3.0,4.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,1.0,,3.0,,,,2.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,110.0,133.0,5.0,7.0,21.0,5.0,14.0,15.0,14.0,11.0,8.0,8.0,6.0,7.0,13.0,7.0,12.0,2.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,3.0,13.0,5.0,13.0,2.0,3.0,3.0,1.0,2.0,,3.0,3.0,1.0,,7.0,2.0,5.0,,3.0,1.0,6.0,1.0,2.0,5.0,1.0,,5.0,4.0,8.0,5.0,1.0,,2.0,,1.0,10.0,3.0,1.0,2.0,3.0,3.0,3.0,,,3.0,3.0,3.0,1.0,,5.0,6.0,1.0,,1.0,,,,,2.0,5.0,2.0,,1.0,,1.0,2.0,1.0,5.0,3.0,,2.0,1.0,,4.0,2.0,4.0,5.0,2.0,,1.0,3.0,2.0,1.0,,,,,2.0,1.0,3.0,,,,,1.0,,3.0,,,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,1.0,,,2.0,,2.0,1.0,,,,,,,,,,,3.0,,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,2.0,,3.0,1.0,,,,,3.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,2.0,,2.0,1.0,,2.0,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,89.0,135.0,7.0,5.0,20.0,4.0,11.0,11.0,11.0,12.0,2.0,8.0,6.0,6.0,3.0,9.0,6.0,4.0,8.0,2.0,,3.0,2.0,9.0,6.0,1.0,5.0,16.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,3.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,,3.0,2.0,2.0,9.0,4.0,1.0,,,4.0,1.0,,5.0,,2.0,3.0,,1.0,1.0,8.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,2.0,3.0,,2.0,,2.0,4.0,4.0,2.0,3.0,,1.0,1.0,,3.0,,,1.0,1.0,,2.0,,5.0,,,,,,,,,1.0,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
6,70.0,157.0,2.0,3.0,15.0,,7.0,9.0,8.0,10.0,4.0,5.0,,2.0,1.0,10.0,,1.0,7.0,4.0,1.0,3.0,4.0,9.0,2.0,1.0,2.0,13.0,2.0,3.0,,3.0,5.0,,3.0,1.0,,,,1.0,,1.0,,3.0,1.0,,1.0,1.0,3.0,2.0,,1.0,2.0,1.0,,5.0,1.0,1.0,1.0,1.0,,3.0,4.0,,,1.0,2.0,2.0,,3.0,1.0,,,1.0,,,4.0,,,,1.0,,,,,,,1.0,1.0,,,4.0,1.0,,4.0,,2.0,,,1.0,2.0,,1.0,,3.0,,,1.0,,,1.0,,,,,2.0,,1.0,,1.0,3.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,2.0,,,,,2.0,1.0,,,,,1.0,1.0,,1.0,,,2.0,2.0,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
7,39.0,144.0,4.0,,8.0,1.0,4.0,6.0,4.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,8.0,1.0,2.0,,1.0,2.0,,3.0,,,,,2.0,,1.0,4.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,3.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,5.0,,,,,,,,,1.0,,,1.0,,,2.0,,,2.0,1.0,,,1.0,2.0,,,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,
8,25.0,73.0,1.0,,5.0,2.0,2.0,,,2.0,,2.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,3.0,,,2.0,,,,1.0,,,,1.0,,,,2.0,1.0,1.0,3.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
9,11.0,59.0,1.0,2.0,1.0,,1.0,,,3.0,1.0,,,,,3.0,,,3.0,,,1.0,,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,2.0,,1.0,,,1.0,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
